Name,Stars,Rooms,Beds,Postcal Code,Nr,Location
BANKS MANSION,4,51,102,1017BV,519-525,52.3655:4.8925
INNTEL HOTELS AMSTERDAM CENTRE,4,239,464,1012PV,19,52.3762:4.8947
DELPHI HOTEL,4,52,96,1077AN,103-105,52.3505:4.877
PRINS HENDRIK HOTEL,3,45,124,1012AC,52-58,52.3765:4.8993
QUENTIN ARRIVE HOTEL,1,30,65,1013EL,65-67,52.3803:4.8916
WIJNNOBEL HOTEL,1,12,27,1071AB,9,52.3612:4.8818
AADAM WILHELMINA HOTEL,2,19,40,1075CN,169,52.3528:4.8622
DORIA HOTEL,3,38,71,1012JL,3,52.3723:4.8949
ALFA AMSTERDAM HOTEL,1,21,44,1012TR,14,52.378:4.8961
HORTUS HOTEL,0,20,42,1018SR,8,52.3668:4.9091
IL GIARDINO HOTEL,2,14,36,1011AG,97-98,52.3759:4.9029
"BULLDOG HOTEL,THE",0,39,245,1012GJ,220,52.3724:4.896
DI-ANN HOTEL,2,48,110,1016DC,27,52.3734:4.8862
NADIA HOTEL (INCL. CLEMENS HOTEL),2,52,72,1016DD,49-53,52.3737:4.8857
PRINCESS HOTEL,1,34,71,1054HL,80,52.3631:4.8757
ALFA PLANTAGE HOTEL,3,21,42,1018DE,26,52.3665:4.911
BRIAN HOTEL,0,14,35,1012VE,69,52.3764:4.8919
WESTCORD AMSTERDAM ART 4-STERREN,4,84,124,1013ZX,302,52.3927:4.8711
LLOYD HOTEL & CULTURELE AMBASSADE,0,117,234,1019BN,34,52.3741:4.9361
MONOPOLE HOTEL & APARTMENTS,2,12,26,1017AC,60,52.3668:4.8966
MUSEUMZICHT HOTEL,1,14,26,1071CN,22,52.3604:4.8831
HERMITAGE AMSTERDAM HOTEL,2,21,49,1018DR,16,52.3648:4.9037
SHELTER CITY JEUGDHOTEL,0,25,178,1012BV,21,52.3724:4.8988
SAVOY HOTEL AMSTERDAM,4,44,75,1072LW,194,52.3498:4.8912
BASTION HOTEL AMSTERDAM CENTRUM/Z.W.,3,90,180,1058EV,11,52.3638:4.8435
APPLE INN HOTEL,2,28,68,1075CJ,93,52.3539:4.866
ROOMS & CO,3,4,8,1074BK,1A,52.358:4.9021
OLD QUARTER HOTEL,2,41,91,1012JD,22,52.3761:4.8991
ADOLESCE HOTEL,2,10,21,1018DS,26,52.3646:4.9041
SAILING HOME HOTELSCHIP,3,13,26,1011VC,T.O. NEMO,52.3701:4.9104
SCHRODER HOTEL,1,11,23,1013JE,48B,52.3826:4.8876
"LANTAERNE LEIDSEKADE,HOTEL DE",0,28,69,1017ND,111-117,52.3652:4.8808
SYNOPSIS HOTEL,3,3,6,1018DS,22A,52.3646:4.9041
ASPEN HOTEL,1,8,17,1016DC,31,52.3734:4.8862
OLD HARBOUR HOTEL,1,8,15,1012HT,23,52.376:4.8992
"MUNCK HOTEL,DE",2,13,33,1017WL,3,52.3615:4.9012
MERCURE AMSTERDAM AIRPORT,4,152,303,1066BW,20,52.3358:4.8159
NIEUW SLOTANIA HOTEL,0,70,172,1063JN,133,52.3797:4.8202
BEST WESTERN BLUE SQUARE HOTEL,4,175,370,1064HD,80,52.3776:4.8203
SANDTON HOTEL DE FILOSOOF,3,45,84,1054GZ,2-6,52.3607:4.8696
PARK PLAZA VONDELPARK,3,138,277,1075CZ,34-36,52.3543:4.8669
MEMPHIS HOTEL,4,78,155,1071NX,87,52.3533:4.8712
RADISSON BLU HOTEL,4,252,503,1012CK,17,52.3701:4.8967
RENAISSANCE AMSTERDAM HOTEL,5,402,804,1012SZ,1,52.3777:4.8939
REMBRANDT CLASSIC HOTEL,3,111,242,1016BJ,255,52.3716:4.8874
BILDERBERG GARDEN HOTEL,5,124,248,1077BJ,7,52.3511:4.8749
THORBECKE HOTEL,0,14,33,1017CS,3 + 13,52.3654:4.8957
CROWNE PLAZA AMSTERDAM CITY CENTRE,4,270,487,1012RC,5,52.377:4.8953
SOFITEL LEGEND THE GRAND AMSTERDAM,5,177,355,1012EX,197,52.3703:4.895
CENTRAL PARK HOTEL,3,42,88,1075BT,9,52.3535:4.8576
CHIC AND BASIC,2,25,49,1015BA,13,52.3789:4.8922
UTOPIA,0,10,22,1012SH,132,52.3751:4.8916
BELFORT HOTEL,3,42,96,1058GN,53,52.3575:4.8508
JANSON HOTEL,2,12,26,1071RL,69A,52.3544:4.8822
BEN HOTEL,1,26,52,1012JT,21,52.3751:4.8971
"KWINT,B&B",0,4,7,1033BE,187,52.4148:4.8855
ANCO HOTEL,1,14,27,1012EJ,55,52.3744:4.8994
BELGA HOTEL,2,11,30,1016CB,8,52.3724:4.8862
